id,dotid,lat,lng
1,1,31.57272,120.327843
2,2,31.568543,120.374561
3,3,31.561332,120.368113
4,4,31.538762,120.350992
5,5,31.470938,120.380177
6,6,31.470829,120.44693
7,7,31.534022,120.434918
8,8,31.546208,120.382152
9,9,31.533765,120.43167
10,10,31.578638,120.402012
11,11,31.476512,120.445758
12,12,31.552305,120.350262
13,13,31.48847,120.455773
14,14,31.547473,120.353279
15,15,31.573798,120.328609
16,16,31.567789,120.33711
17,17,31.559318,120.345397
18,18,31.488455,120.455907
19,19,31.545497,120.44321
20,20,31.528538,120.499868
21,21,31.527539,120.384913
22,22,31.567201,120.379033
23,23,31.570307,120.345916
24,24,31.543339,120.446095
25,25,31.550614,120.356152
26,26,31.484029,120.467844
27,27,31.560202,120.343132
28,28,31.534073,120.43482
29,29,31.526951,120.505135
30,30,31.538055,120.351893
31,31,31.561717,120.32303
32,32,31.472628,120.365261
33,33,31.483504,120.508072
34,34,31.493389,120.486256
35,35,31.545368,120.443437
36,36,31.556249,120.346959
37,37,31.490524,120.363519
38,38,31.551127,120.347447
39,39,31.552031,120.350148
40,40,31.48917,120.451969
41,41,31.548508,120.374955
42,42,31.493888,120.480234
43,43,31.541864,120.359344
44,44,31.479214,120.445382
45,45,31.578986,120.40174
46,46,31.566084,120.40798
47,47,31.557813,120.390861
48,48,31.561443,120.368129
49,49,31.569391,120.343359
50,50,31.561189,120.345652
51,51,31.529209,120.3865
52,52,31.483419,120.467738
53,53,31.537869,120.363
54,54,31.551328,120.347812
55,55,31.548964,120.36712
56,56,31.475945,120.387633
57,57,31.558117,120.388981
58,58,31.536863,120.351144
59,59,31.546187,120.355833
60,60,31.559757,120.363634
61,61,31.559208,120.375968
62,62,31.562626,120.340599
63,63,31.573044,120.326525
