id,dotid,lat,lng
1,1,31.543356,120.3405
2,2,31.553091,120.361501
3,3,31.553154,120.367103
4,4,31.543996,120.375284
5,5,31.561679,120.381709
6,6,31.559275,120.339609
7,7,31.567328,120.332733
8,8,31.561636,120.341343
9,9,31.566165,120.343374
10,10,31.565117,120.341607
11,11,31.563708,120.374421
12,12,31.55705,120.348942
13,13,31.545536,120.43825
14,14,31.549797,120.427574
15,15,31.4947,120.48823
16,16,31.548244,120.368431
17,17,31.568689,120.337106
18,18,31.476661,120.447853
19,19,31.476661,120.447853
20,20,31.462261,120.452202
21,21,31.46073,120.45395
22,22,31.462261,120.452202
23,23,31.545924,120.434644
24,24,31.53202,120.470008
25,25,31.496551,120.494425
26,26,31.495021,120.488254
27,27,31.524704,120.499069
28,28,31.550957,120.352778
29,29,31.551291,120.351898
30,30,31.557794,120.383799
31,31,31.473214,120.441898
32,32,31.568351,120.338061
33,33,31.47656,120.38144
34,34,31.568689,120.337106
35,35,31.478895,120.454933
36,36,31.478895,120.454933
37,37,31.48741,120.379722
38,38,31.545244,120.351297
39,39,31.55077,120.360741
40,40,31.458756,120.44294
41,41,31.486942,120.494639
42,42,31.548664,120.355506
43,43,31.578352,120.315376
44,44,31.507143,120.432852
45,45,31.57078,120.330883
46,46,31.566555,120.343271
47,47,31.56314,120.33542
48,48,31.529291,120.387447
49,49,31.54603,120.357583
50,50,31.482788,120.447485
51,51,31.531993,120.387418
52,52,31.547349,120.388705
53,53,31.488027,120.49953
54,54,31.47855,120.385047
55,55,31.569657,120.328388
56,56,31.572347,120.319994
57,57,31.547267,120.388896
58,58,31.566363,120.342706
59,59,31.544704,120.352622
60,60,31.543538,120.362311
61,61,31.561953,120.380076
62,62,31.600727,120.226714
63,63,31.498568,119.714227
64,64,31.493888,120.480234
65,65,31.629954,120.299576
66,66,31.557208,120.389863
67,67,31.55603,120.371516
68,68,31.423904,120.106576
69,69,31.669011,120.355369
70,70,31.650761,120.194071
